Rank,Name,Nation,Born,Bodyweight,Group,Total
1,Delia,ITA,2005,52.99,A,85
2,Monasterio Urbitarte,ESP,2006,52.55,A,84
3,Stratoudaki,GRE,2008,52.68,A,82
4,Sipos,ROU,2009,52.79,A,81
5,Katsianiova,AIN,2007,52.64,A,75
6,Popescu,MDA,2006,52.14,A,70
7,Starostina,AIN,2006,52.07,A,70
8,Roussel,FRA,2006,52.3,A,70
9,Camilleri Lagana,MLT,2008,51.93,A,69
10,Cruikshunk,GBR,2007,52.19,A,68
11,Kozlova,CZE,2005,52.07,A,65
12,Scherer,GER,2005,52.62,A,65
1,Grigoryan,ARM,2005,56.9,A,91
2,Berchi,ROU,2005,57.27,A,90
3,Ollala Munoz,ESP,2005,57.33,A,87
4,Cojocura,MDA,2009,56.85,A,86
5,Honcharova,UKR,2008,57.37,A,84
6,Pratt,GBR,2007,57.11,A,84
7,Dobre,ROU,2006,57.4,A,81
8,Pelta,GBR,2008,57.91,A,80
9,Halynskaya,AIN,2007,57.63,A,80
10,Hnap,AIN,2006,57.57,A,78
11,Heidemann,GER,2007,57.97,B,77
12,Chmukh,UKR,2007,57.42,A,77
13,Jauhojarvi,FIN,2006,55.71,B,73
14,Savolainen,FIN,2006,57.29,B,72
15,Kirat,TUR,2006,57.87,A,NaN
