name,age,age_group,bodyweight,snatch_bw,candj_bw,squat_bw,deadlift_bw,snatch_to_cj,cj_to_squat,strength_score,snatch_level,weakness_flag,overall_rank,percentile_rank
Mino Solomon,30.0,Senior,214.0,39199.1,39199.1,39199.1,39199.1,1.0,1.0,156796.39,Elite,No Major Imbalance,1,1
Andy Judson,27.0,Senior,215.0,23.26,23.26,39016.78,39016.78,1.0,0.0,78080.07,Elite,Weak Clean & Jerk,2,1
Scott Mitchell,33.0,Senior,165.0,6.05,0.09,4775.68,3.43,66.6,0.0,4785.25,Elite,Weak Clean & Jerk,3,1
thomas wood,29.0,Senior,225.0,4444.44,1.27,2.02,2.73,3508.77,0.63,4450.47,Elite,Weak Clean & Jerk,4,1
Laurie Caudy,25.0,Senior,171.0,848.86,1.17,1.49,1.96,725.77,0.78,853.48,Elite,No Major Imbalance,5,1
Coach Robot,35.0,Masters I,178.0,56.17,56.17,56.17,56.17,1.0,1.0,224.69,Elite,No Major Imbalance,6,1
Jason Garrard,33.0,Senior,10.0,28.5,33.5,52.5,52.5,0.85,0.64,167.0,Elite,Weak Clean & Jerk,7,1
Ian Daniel,24.0,Senior,195.0,25.64,30.77,41.03,51.28,0.83,0.75,148.72,Elite,No Major Imbalance,8,1
Samia-Maude Chouinard,28.0,Senior,162.0,80.56,1.2,1.73,2.22,66.92,0.7,85.71,Elite,Weak Clean & Jerk,9,1
Matt Parkinson,20.0,Senior,156.0,6.4,6.4,0.06,64.1,1.0,99.9,76.97,Elite,No Major Imbalance,10,1
Shelley Mcilwain,47.0,Masters I,120.0,67.46,0.92,1.38,1.54,73.59,0.67,71.29,Elite,Weak Clean & Jerk,11,1
Adam Gray,23.0,Senior,140.0,10.0,14.29,19.64,25.36,0.7,0.73,69.29,Elite,No Major Imbalance,12,1
Andrew Hannan,32.0,Senior,195.0,7.04,8.88,12.21,16.28,0.79,0.73,44.41,Elite,No Major Imbalance,13,1
Robert Stanley Beurket,26.0,Senior,215.0,5.47,5.65,13.73,11.16,0.97,0.41,36.01,Elite,Weak Clean & Jerk,14,1
Brett Venable,32.0,Senior,215.0,7.18,9.23,8.2,9.74,0.78,1.12,34.35,Elite,No Major Imbalance,15,1
Joseph McDowell,33.0,Senior,150.0,7.41,7.41,7.41,7.41,1.0,1.0,29.63,Elite,No Major Imbalance,16,1
Christopher Schmitz,28.0,Senior,150.0,7.35,7.35,7.35,7.35,1.0,1.0,29.39,Elite,No Major Imbalance,17,1
Peter Ryan,35.0,Masters I,211.0,9.18,9.18,0.24,9.18,1.0,37.96,27.77,Elite,No Major Imbalance,18,1
Kyle Best,21.0,Senior,176.0,5.68,5.68,5.68,5.68,1.0,1.0,22.73,Elite,No Major Imbalance,19,1
Carly McKenzie,28.0,Senior,140.0,3.57,5.18,6.43,6.79,0.69,0.81,21.96,Elite,Weak Snatch Technique,20,1
Jason Nash,24.0,Senior,265.0,3.54,3.16,8.24,6.66,1.12,0.38,21.59,Elite,Weak Clean & Jerk,21,1
Orlando Trejo,26.0,Senior,72.0,3.68,4.65,6.13,6.43,0.79,0.76,20.89,Elite,No Major Imbalance,22,1
Joshua Martinez,28.0,Senior,195.0,5.12,5.12,5.12,5.12,1.0,1.0,20.49,Elite,No Major Imbalance,23,1
Andrew Chalabardo,32.0,Senior,180.0,2.66,3.27,7.04,6.49,0.81,0.46,19.46,Elite,Weak Clean & Jerk,24,1
jose perez,34.0,Senior,80.0,3.04,3.86,5.51,6.2,0.79,0.7,18.61,Elite,No Major Imbalance,25,1
Jared Cantrell,31.0,Senior,170.0,3.18,4.29,5.24,5.88,0.74,0.82,18.58,Elite,No Major Imbalance,26,1
Seth Roose,24.0,Senior,93.0,2.85,3.32,5.33,6.87,0.86,0.62,18.38,Elite,Weak Clean & Jerk,27,1
Marko Voutilainen,33.0,Senior,163.0,2.71,3.38,6.76,5.41,0.8,0.5,18.26,Elite,Weak Clean & Jerk,28,1
Sung Kong,44.0,Masters I,185.0,3.24,3.78,5.39,5.4,0.86,0.7,17.82,Elite,No Major Imbalance,29,1
Matthew Shor,23.0,Senior,150.0,4.44,4.44,4.44,4.44,1.0,1.0,17.76,Elite,No Major Imbalance,30,1
jake cook,26.0,Senior,167.0,11.75,1.46,1.65,2.51,8.07,0.88,17.37,Elite,No Major Imbalance,31,2
 Rikard Lanner,36.0,Masters I,98.0,2.77,3.38,5.19,5.96,0.82,0.65,17.3,Elite,Weak Clean & Jerk,32,2
Michael Mikaere,24.0,Senior,87.0,2.79,3.3,4.56,6.33,0.85,0.72,16.99,Elite,No Major Imbalance,33,2
Taylor Stringer,27.0,Senior,155.0,2.23,2.74,5.0,6.61,0.81,0.55,16.58,Elite,Weak Clean & Jerk,34,2
Žiga Urh,33.0,Senior,84.0,2.89,3.55,4.86,4.99,0.82,0.73,16.29,Elite,No Major Imbalance,35,2
Edward Beven,32.0,Senior,210.0,10.6,1.45,2.0,2.21,7.3,0.73,16.26,Elite,No Major Imbalance,36,2
Erwin Falconett,36.0,Masters I,175.0,3.87,2.4,3.94,5.63,1.61,0.61,15.85,Elite,Weak Clean & Jerk,37,2
Chris Hogan,29.0,Senior,90.0,2.7,3.07,4.33,5.39,0.88,0.71,15.49,Elite,No Major Imbalance,38,2
Sascha Böhm,22.0,Senior,92.0,2.64,3.36,4.2,5.27,0.79,0.8,15.47,Elite,No Major Imbalance,39,2
Aaron Walters,36.0,Masters I,215.0,3.02,3.72,4.14,4.37,0.81,0.9,15.26,Elite,No Major Imbalance,40,2
Ryan Kelley,38.0,Masters I,170.0,2.21,2.38,5.29,4.79,0.93,0.45,14.68,Elite,Weak Clean & Jerk,41,2
Dewet Grobler,35.0,Masters I,397.0,3.33,5.0,2.5,3.77,0.67,2.0,14.6,Elite,Weak Snatch Technique,42,2
Tim Retzik,44.0,Masters I,105.0,2.56,3.15,4.1,4.76,0.81,0.77,14.57,Elite,No Major Imbalance,43,2
Chris SamFit Samarin,33.0,Senior,270.0,1.67,2.5,5.74,4.54,0.67,0.44,14.44,Elite,Weak Clean & Jerk,44,2
Eric Garcia,29.0,Senior,175.0,2.86,2.86,3.43,5.14,1.0,0.83,14.29,Elite,No Major Imbalance,45,2
Daniel Evans,26.0,Senior,177.0,1.99,2.62,4.3,5.17,0.76,0.61,14.08,Elite,Weak Clean & Jerk,46,2
Michael Mancini,36.0,Masters I,250.0,3.2,3.6,3.56,3.6,0.89,1.01,13.96,Elite,No Major Imbalance,47,2
Todd Holsopple,39.0,Masters I,245.0,9.06,1.18,1.78,1.88,7.71,0.66,13.89,Elite,Weak Clean & Jerk,48,2
John Zvejnieks,31.0,Senior,195.0,3.42,3.42,3.42,3.42,1.0,1.0,13.66,Elite,No Major Imbalance,49,2
john mcinarnay,39.0,Masters I,320.0,5.63,4.69,0.45,2.81,1.2,10.34,13.58,Elite,No Major Imbalance,50,2
Ryan Fowler,32.0,Senior,233.0,1.23,3.49,4.42,3.92,0.35,0.79,13.06,Advanced,Weak Snatch Technique,51,2
Dawn Metz Andrews,27.0,Senior,145.0,2.41,2.9,3.55,4.14,0.83,0.82,13.0,Elite,No Major Imbalance,52,2
Kim Jong Un,32.0,Senior,220.0,1.75,2.55,3.66,4.96,0.69,0.7,12.93,Elite,Weak Clean & Jerk,53,2
Paul Ryan,32.0,Senior,82.0,4.04,1.61,3.23,4.04,2.51,0.5,12.91,Elite,Weak Clean & Jerk,54,2
Mike Latran,33.0,Senior,168.0,1.7,2.08,2.98,5.95,0.81,0.7,12.71,Elite,No Major Imbalance,55,2
Vicky DeTample,24.0,Senior,146.0,7.64,1.1,1.61,2.23,6.97,0.68,12.57,Elite,Weak Clean & Jerk,56,2
John Krupka,32.0,Senior,210.0,2.27,2.78,3.15,4.2,0.82,0.88,12.4,Elite,No Major Imbalance,57,2
jordan colmenero,23.0,Senior,150.0,3.33,4.04,2.0,2.67,0.83,2.02,12.04,Elite,No Major Imbalance,58,2
Andrew Wise,24.0,Senior,168.0,2.23,2.68,3.27,3.75,0.83,0.82,11.93,Elite,No Major Imbalance,59,2
Jase Kolb,29.0,Senior,168.0,1.97,1.31,3.93,4.6,1.5,0.33,11.81,Elite,Weak Clean & Jerk,60,2
Jeremiah Johnson,35.0,Masters I,197.0,2.41,2.61,3.13,3.56,0.92,0.83,11.71,Elite,No Major Imbalance,61,3
jay wilber,53.0,Masters II,168.0,1.79,1.76,4.46,3.57,1.01,0.39,11.58,Elite,Weak Clean & Jerk,62,3
Pedro Pérez Orlando,32.0,Senior,170.0,1.71,2.22,3.72,3.72,0.77,0.6,11.38,Elite,Weak Clean & Jerk,63,3
Victor Moguel,27.0,Senior,350.0,3.78,0.01,2.52,5.04,661.5,0.0,11.35,Elite,Weak Clean & Jerk,64,3
Abel Lopez,38.0,Masters I,230.0,1.74,2.17,3.04,4.35,0.8,0.71,11.3,Elite,No Major Imbalance,65,3
Xxx Xxxxxx,98.0,Masters II,212.0,2.15,0.58,4.71,3.72,3.71,0.12,11.17,Elite,Weak Clean & Jerk,66,3
Jordan Jiunta,24.0,Senior,170.0,1.85,2.32,3.24,3.74,0.8,0.72,11.15,Elite,No Major Imbalance,67,3
Matt Adams,29.0,Senior,170.0,2.5,1.85,3.24,3.53,1.35,0.57,11.12,Elite,Weak Clean & Jerk,68,3
Anthony Bainbridge,36.0,Masters I,166.0,1.54,2.02,3.55,4.01,0.76,0.57,11.11,Elite,Weak Clean & Jerk,69,3
Jascha Patton,44.0,Masters I,180.0,2.25,4.19,0.75,3.86,0.54,5.59,11.06,Elite,Weak Snatch Technique,70,3
Camille St-Pierre,28.0,Senior,180.0,2.08,2.53,2.64,3.58,0.82,0.96,10.84,Elite,No Major Imbalance,71,3
Roberto Castaneda,32.0,Senior,153.0,1.75,2.06,3.33,3.49,0.85,0.62,10.62,Elite,Weak Clean & Jerk,72,3
Pat Potempa,39.0,Masters I,220.0,5.48,1.2,1.7,2.2,4.55,0.71,10.59,Elite,No Major Imbalance,73,3
Richie Patterson,31.0,Senior,187.0,1.89,2.3,3.12,2.95,0.82,0.74,10.26,Elite,No Major Imbalance,74,3
Mitchell Price,25.0,Senior,199.0,3.32,1.86,2.24,2.74,1.79,0.83,10.16,Elite,No Major Imbalance,75,3
Santos Santana,33.0,Senior,165.0,1.94,2.12,3.03,3.03,0.91,0.7,10.12,Elite,No Major Imbalance,76,3
Adam Johansen,18.0,Senior,176.0,1.73,2.13,2.88,3.38,0.81,0.74,10.12,Elite,No Major Imbalance,77,3
Ali-Reza Shishineh,29.0,Senior,159.0,1.81,2.08,2.96,3.27,0.87,0.7,10.11,Elite,No Major Imbalance,78,3
Sean Hutchinson,27.0,Senior,145.0,1.78,2.21,3.12,2.97,0.81,0.71,10.07,Elite,No Major Imbalance,79,3
